votes_dem,votes_gop,total_votes,state_abbr,county_name,combined_fips
2117.0,7347.0,10667.0,ID,Jerome County,16053
16264.0,44449.0,66286.0,ID,Kootenai County,16055
8093.0,7255.0,18146.0,ID,Latah County,16057
733.0,3011.0,4068.0,ID,Lemhi County,16059
270.0,1202.0,1590.0,ID,Lewis County,16061
360.0,1184.0,1748.0,ID,Lincoln County,16063
1201.0,8941.0,15687.0,ID,Madison County,16065
1167.0,4887.0,6870.0,ID,Minidoka County,16067
4828.0,10699.0,17195.0,ID,Nez Perce County,16069
184.0,1531.0,2068.0,ID,Oneida County,16071
591.0,3052.0,3920.0,ID,Owyhee County,16073
892.0,4306.0,5703.0,ID,Payette County,16075
699.0,1666.0,2758.0,ID,Power County,16077
1384.0,3297.0,5120.0,ID,Shoshone County,16079
2157.0,2161.0,4966.0,ID,Teton County,16081
6844.0,21063.0,31893.0,ID,Twin Falls County,16083
1913.0,2906.0,5349.0,ID,Valley County,16085
776.0,3283.0,4454.0,ID,Washington County,16087
7633.0,22732.0,31770.0,IL,Adams County,17001
1262.0,1496.0,2820.0,IL,Alexander County,17003
2066.0,4884.0,7462.0,IL,Bond County,17005
8952.0,12261.0,22604.0,IL,Boone County,17007
475.0,1776.0,2336.0,IL,Brown County,17009
6010.0,9264.0,16303.0,IL,Bureau County,17011
739.0,1719.0,2556.0,IL,Calhoun County,17013
2437.0,4428.0,7354.0,IL,Carroll County,17015
1617.0,3216.0,5054.0,IL,Cass County,17017
49694.0,33235.0,89196.0,IL,Champaign County,17019
3982.0,10522.0,15310.0,IL,Christian County,17021
1873.0,5620.0,7819.0,IL,Clark County,17023
1014.0,5009.0,6278.0,IL,Clay County,17025
3939.0,12394.0,17268.0,IL,Clinton County,17027
7285.0,12985.0,21580.0,IL,Coles County,17029
1528582.0,440213.0,2055215.0,IL,Cook County,17031
1969.0,6146.0,8507.0,IL,Crawford County,17033
1028.0,4200.0,5513.0,IL,Cumberland County,17035
20348.0,19051.0,42605.0,IL,DeKalb County,17037
1907.0,5072.0,7469.0,IL,De Witt County,17039
1946.0,5695.0,8089.0,IL,Douglas County,17041
222499.0,164355.0,412929.0,IL,DuPage County,17043
1778.0,5634.0,7783.0,IL,Edgar County,17045
432.0,2777.0,3312.0,IL,Edwards County,17047
3071.0,13613.0,17428.0,IL,Effingham County,17049
1814.0,7363.0,9515.0,IL,Fayette County,17051
1410.0,4474.0,6289.0,IL,Ford County,17053
4711.0,13101.0,18533.0,IL,Franklin County,17055
6118.0,8482.0,15609.0,IL,Fulton County,17057
656.0,1942.0,2691.0,IL,Gallatin County,17059
1202.0,4139.0,5542.0,IL,Greene County,17061
8021.0,13417.0,22891.0,IL,Grundy County,17063
800.0,3205.0,4143.0,IL,Hamilton County,17065
1744.0,5713.0,7818.0,IL,Hancock County,17067
419.0,1650.0,2133.0,IL,Hardin County,17069
1151.0,2153.0,3480.0,IL,Henderson County,17071
8835.0,13962.0,24232.0,IL,Henry County,17073
2496.0,9728.0,12923.0,IL,Iroquois County,17075
11619.0,10889.0,24509.0,IL,Jackson County,17077
924.0,3973.0,5104.0,IL,Jasper County,17079
4408.0,11681.0,16818.0,IL,Jefferson County,17081
2673.0,7737.0,10909.0,IL,Jersey County,17083
4452.0,6113.0,11177.0,IL,Jo Daviess County,17085
1135.0,4644.0,6017.0,IL,Johnson County,17087
99389.0,82087.0,193500.0,IL,Kane County,17089
18908.0,25081.0,46556.0,IL,Kankakee County,17091
23392.0,24152.0,50815.0,IL,Kendall County,17093
9939.0,10658.0,21964.0,IL,Knox County,17095
168186.0,108608.0,293574.0,IL,Lake County,17097
19277.0,26269.0,48447.0,IL,LaSalle County,17099
1288.0,4517.0,6039.0,IL,Lawrence County,17101
5499.0,8597.0,15215.0,IL,Lee County,17103
4005.0,10197.0,15096.0,IL,Livingston County,17105
3301.0,8167.0,12130.0,IL,Logan County,17107
18211.0,26782.0,47283.0,IL,Macon County,17115
6532.0,14194.0,21881.0,IL,Macoupin County,17117
50336.0,70295.0,127902.0,IL,Madison County,17119
4231.0,11677.0,16600.0,IL,Marion County,17121
1784.0,3776.0,5903.0,IL,Marshall County,17123
2008.0,4051.0,6433.0,IL,Mason County,17125
1555.0,4844.0,6633.0,IL,Massac County,17127
5278.0,6789.0,12910.0,IL,McDonough County,17109
59827.0,71117.0,140145.0,IL,McHenry County,17111
35918.0,37081.0,78995.0,IL,McLean County,17113
1808.0,4230.0,6423.0,IL,Menard County,17129
3061.0,4800.0,8417.0,IL,Mercer County,17131
5522.0,12614.0,19074.0,IL,Monroe County,17133
3490.0,8616.0,12829.0,IL,Montgomery County,17135
4693.0,9060.0,14607.0,IL,Morgan County,17137
1476.0,4453.0,6209.0,IL,Moultrie County,17139
8025.0,14344.0,23798.0,IL,Ogle County,17141
37436.0,35299.0,77465.0,IL,Peoria County,17143
2433.0,6816.0,9706.0,IL,Perry County,17145
2633.0,5623.0,8899.0,IL,Piatt County,17147
1412.0,5749.0,7458.0,IL,Pike County,17149
374.0,1678.0,2132.0,IL,Pope County,17151
817.0,1583.0,2473.0,IL,Pulaski County,17153
1143.0,1762.0,3076.0,IL,Putnam County,17155
3421.0,9992.0,14032.0,IL,Randolph County,17157
1579.0,5736.0,7630.0,IL,Richland County,17159
